,Players,Values
0,Thibaut Courtois,30000000.0
1,Asmir Begovic,13000000.0
2,Jamal Blackman,250000.0
3,Marco Amelia,150000.0
4,Gary Cahill,20000000.0
5,Branislav Ivanovic,17000000.0
6,Kurt Zouma,10000000.0
7,Papy Djilobodji,6500000.0
8,John Terry,5000000.0
9,Tomas Kalas,3500000.0
10,Nathan Aké,1500000.0
11,Michael Hector,750000.0
12,Matt Miazga,150000.0
13,Fikayo Tomori,
14,Jake Clarke-Salter,
15,Abdul Rahman Baba,5000000.0
16,César Azpilicueta,21000000.0
17,Ola Aina,
18,Nemanja Matic,34000000.0
19,John Mikel Obi,13000000.0
20,Cesc Fàbregas,50000000.0
21,Ramires,25000000.0
22,Ruben Loftus-Cheek,500000.0
23,Charlie Colkett,
24,Kenedy,6000000.0
25,Oscar,40000000.0
26,Kasey Palmer,
27,Eden Hazard,60000000.0
28,Pedro,20000000.0
29,Lucas Piazón,5000000.0
30,Juan Cuadrado,32000000.0
31,Willian,30000000.0
32,Victor Moses,7500000.0
33,Bertrand Traoré,2500000.0
34,Diego Costa,50000000.0
35,Falcao,45000000.0
36,Loïc Rémy,12000000.0
37,Alexandre Pato,11000000.0
38,Patrick Bamford,2500000.0
39,Tammy Abraham,
