,Players,Values
0,Roman Bürki,9000000.0
1,Roman Weidenfeller,1000000.0
2,Dominik Reimann,100000.0
3,Sokratis,28000000.0
4,Ömer Toprak,16000000.0
5,Marc Bartra,10000000.0
6,Neven Subotic,5000000.0
7,Manuel Akanji,1500000.0
8,Dan-Axel Zagadou,125000.0
9,Raphaël Guerreiro,20000000.0
10,Marcel Schmelzer,9000000.0
11,Jan-Niklas Beste,
12,Lukasz Piszczek,5000000.0
13,Erik Durm,5000000.0
14,Jeremy Toljan,3500000.0
15,Felix Passlack,3000000.0
16,Julian Weigl,25000000.0
17,Nuri Sahin,4000000.0
18,Mahmoud Dahoud,15000000.0
19,Gonzalo Castro,15000000.0
20,Sebastian Rode,6000000.0
21,Marco Reus,35000000.0
22,Mario Götze,20000000.0
23,Shinji Kagawa,13000000.0
24,Sergio Gómez,
25,Ousmane Dembélé,33000000.0
26,André Schürrle,20000000.0
27,Jacob Bruun Larsen,
28,Jadon Sancho,
29,Andriy Yarmolenko,18000000.0
30,Christian Pulisic,18000000.0
31,Pierre-Emerick Aubameyang,65000000.0
32,Michy Batshuayi,25000000.0
33,Maximilian Philipp,15000000.0
34,Alexander Isak,6000000.0
