,Players,Values
0,Ron-Robert Zieler,9500000.0
1,Philipp Tschauner,600000.0
2,Timo Königsmann,300000.0
3,Samuel Sahin-Radlinger,200000.0
4,Andre Hoffmann,5000000.0
5,Marcelo,3500000.0
6,Salif Sané,2500000.0
7,Christian Schulz,2000000.0
8,Alexander Milosevic,1250000.0
9,Felipe,1000000.0
10,Waldemar Anton,
11,Miiko Albornoz,2250000.0
12,Hiroki Sakai,3500000.0
13,Oliver Sorg,3000000.0
14,Vladimir Rankovic,350000.0
15,Fynn Arkenberg,
16,Manuel Schmiedebach,3500000.0
17,Ceyhun Gülselam,1750000.0
18,Hotaru Yamaguchi,1500000.0
19,Maurice Hirsch,500000.0
20,Leon Andreasen,1000000.0
21,Iver Fossum,700000.0
22,Niklas Feierabend,
23,Edgar Prib,3000000.0
24,Hiroshi Kiyotake,4500000.0
25,Tim Dierßen,250000.0
26,Mike-Steven Bähre,75000.0
27,Kenan Karaman,400000.0
28,Felix Klaus,2500000.0
29,Uffe Bech,1250000.0
30,Allan Saint-Maximin,1000000.0
31,Marius Wolf,400000.0
32,Noah Sarenren Bazee,
33,Ádám Szalai,6000000.0
34,Mevlüt Erdinc,4000000.0
35,Artur Sobiech,2000000.0
36,Hugo Almeida,2000000.0
37,Charlison Benschop,2000000.0
38,Valmir Sulejmani,300000.0
