,Players,Values
0,Michael Ratajczak,800000.0
1,Michael Melka,500000.0
2,Maximilian Schulze Niehues,100000.0
3,Tiago Calvano,800000.0
4,Jens Langeneke,800000.0
5,Assani Lukimya,500000.0
6,Johannes van den Bergh,750000.0
7,Marcel Gaus,600000.0
8,Christian Weber,1250000.0
9,Claus Costa,800000.0
10,Adam Bodzek,800000.0
11,Kai Schwertfeger,300000.0
12,Andreas Lambertz,1000000.0
13,Oliver Fink,700000.0
14,Patrick Zoundi,600000.0
15,Sascha Dum,700000.0
16,Ken Ilsö,1500000.0
17,Marco Christ,1250000.0
18,Thiago Rockenbach,600000.0
19,Thomas Bröker,400000.0
20,Maximilian Beister,200000.0
21,Sascha Rösler,700000.0
22,Wellington,2000000.0
23,Ranisav Jovanovic,1000000.0
24,Sándor Torghelle,900000.0
25,Marco Königs,50000.0
