,Players,Values
0,Raphael Schäfer,1500000.0
1,Patrick Rakovsky,500000.0
2,Alexander Stephan,300000.0
3,Benjamin Uphoff,100000.0
4,Max Nawe,
5,Javier Pinola,3000000.0
6,Marcos António,1500000.0
7,Timm Klose,1500000.0
8,Per Nilsson,1000000.0
9,Berkay Dabanli,200000.0
10,Noah Korczowski,150000.0
11,Niklas Stark,
12,Adam Hlousek,1500000.0
13,Marvin Plattenhardt,1000000.0
14,Timothy Chandler,4500000.0
15,Hanno Balitsch,2000000.0
16,Almog Cohen,2000000.0
17,Timmy Simons,1750000.0
18,Sebastian Gärtner,75000.0
19,Markus Feulner,1500000.0
20,Mike Frantz,1500000.0
21,Muhamed Ildiz,250000.0
22,Timo Gebhart,2500000.0
23,Hiroshi Kiyotake,2250000.0
24,Philipp Klement,100000.0
25,Robert Mak,1750000.0
26,Markus Mendler,800000.0
27,Alexander Esswein,3500000.0
28,Tomás Pekhart,4000000.0
29,Mu Kanazaki,1200000.0
30,Sebastian Polter,800000.0
31,Roussel Ngankam,100000.0
