,Players,Values
0,Petr Cech,25000000.0
1,Thibaut Courtois,18000000.0
2,Mark Schwarzer,1000000.0
3,Matej Delac,500000.0
4,Henrique Hilário,500000.0
5,Jamal Blackman,
6,David Luiz,25000000.0
7,Branislav Ivanovic,24000000.0
8,Gary Cahill,19000000.0
9,John Terry,12000000.0
10,Kurt Zouma,7000000.0
11,Tomas Kalas,6000000.0
12,Nathan Aké,
13,Ashley Cole,8000000.0
14,Ryan Bertrand,5000000.0
15,Patrick van Aanholt,3000000.0
16,Cristian Cuevas,75000.0
17,César Azpilicueta,14000000.0
18,Wallace Oliveira,2000000.0
19,John Mikel Obi,23000000.0
20,Nemanja Matic,14000000.0
21,Michael Essien,10000000.0
22,Oriol Romeu,7500000.0
23,Ramires,27000000.0
24,Marco van Ginkel,8000000.0
25,Frank Lampard,4000000.0
26,John Swift,
27,Lewis Baker,
28,Juan Mata,42000000.0
29,Oscar,32000000.0
30,Kevin De Bruyne,10000000.0
31,Ulises Dávila,1500000.0
32,Eden Hazard,40000000.0
33,André Schürrle,25000000.0
34,Marko Marin,7000000.0
35,Christian Atsu,6000000.0
36,Lucas Piazón,5000000.0
37,Gaël Kakuta,4000000.0
38,Thorgan Hazard,4000000.0
39,Willian,30000000.0
40,Victor Moses,15000000.0
41,Mohamed Salah,6500000.0
42,Bertrand Traoré,
43,Fernando Torres,28000000.0
44,Samuel Eto'o,22000000.0
45,Demba Ba,22000000.0
46,Romelu Lukaku,19000000.0
47,Stipe Perica,400000.0
48,Patrick Bamford,
