,Players,Values
0,Raphael Schäfer,3200000.0
1,Timo Ochs,600000.0
2,Alexander Stephan,400000.0
3,Daniel Klewer,100000.0
4,Daniel Batz,50000.0
5,Javier Pinola,3000000.0
6,Andreas Wolf,2500000.0
7,Dominic Maroh,2500000.0
8,Per Nilsson,1000000.0
9,Philipp Wollscheid,200000.0
10,Pascal Bieler,500000.0
11,Marvin Plattenhardt,
12,Timothy Chandler,75000.0
13,Timmy Simons,4500000.0
14,Juri Judt,600000.0
15,Almog Cohen,350000.0
16,Mike Frantz,2000000.0
17,Ilkay Gündogan,2000000.0
18,Jens Hegeler,900000.0
19,Marek Mintal,1250000.0
20,Mehmet Ekici,700000.0
21,Dario Vidosic,500000.0
22,Julian Wießmeier,
23,Robert Mak,50000.0
24,Markus Mendler,
25,Christian Eigler,1000000.0
26,Christoph Sauter,
27,Albert Bunjaku,4000000.0
28,Nassim Ben Khalifa,2500000.0
29,Julian Schieber,2000000.0
30,Rubin Okotie,1700000.0
31,Isaac Boakye,800000.0
