,Players,Values
0,Michael Rensing,600000.0
1,Lars Unnerstall,500000.0
2,Tim Wiesner,
3,Christian Strohdiek,1200000.0
4,Karim Haggui,800000.0
5,Christopher Avevor,800000.0
6,Alexander Madlung,800000.0
7,Kevin Akpoguma,600000.0
8,Robin Bormuth,50000.0
9,Lukas Schmitz,700000.0
10,Fabian Holthaus,400000.0
11,Charalampos Mavrias,1500000.0
12,Julian Schauerte,1000000.0
13,Tugrul Erat,500000.0
14,Adam Bodzek,1000000.0
15,Julian Koch,750000.0
16,Marcel Sobottka,250000.0
17,Justin Toshiki Kinjo,
18,Michael Liendl,900000.0
19,Christian Gartner,700000.0
20,Sérgio da Silva Pinto,500000.0
21,Oliver Fink,400000.0
22,Kaan Akca,75000.0
23,Sercan Sararer,750000.0
24,Axel Bellinghausen,600000.0
25,Kerem Demirbay,1000000.0
26,Ihlas Bebou,150000.0
27,Mike van Duinen,2000000.0
28,Joel Pohjanpalo,1500000.0
29,Didier Ya Konan,1500000.0
30,Nikola Djurdjic,1300000.0
31,Mathis Bolly,650000.0
32,Kemal Rüzgar,100000.0
33,Emmanuel Iyoha,
