,Players,Values
0,Diego Benaglio,5000000.0
1,Koen Casteels,1500000.0
2,Max Grün,400000.0
3,Patrick Drewes,250000.0
4,Phillip Menzel,
5,Jeffrey Bruma,7750000.0
6,Philipp Wollscheid,6500000.0
7,Robin Knoche,6000000.0
8,Moritz Sprenger,100000.0
9,Hendrik Hansen,100000.0
10,Robin Ziegele,
11,Ricardo Rodríguez,25000000.0
12,Vieirinha,7000000.0
13,Marcel Schäfer,2000000.0
14,Gian-Luca Itter,
15,Jannes Horn,
16,Sebastian Jung,3500000.0
17,Luiz Gustavo,20000000.0
18,Riechedly Bazoer,15000000.0
19,Josuha Guilavogui,12000000.0
20,Christian Träsch,4000000.0
21,Paul Seguin,200000.0
22,Maximilian Arnold,12000000.0
23,Yannick Gerhardt,4500000.0
24,Carlos Ascues,500000.0
25,Amara Condé,
26,Daniel Caligiuri,7500000.0
27,Jakub Blaszczykowski,7000000.0
28,Francisco Rodríguez,800000.0
29,Julian Draxler,24000000.0
30,Yunus Malli,10000000.0
31,Daniel Didavi,7000000.0
32,Justin Möbius,
33,Paul-Georges Ntep,10000000.0
34,Josip Brekalo,1000000.0
35,Leandro Putaro,200000.0
36,Ashkan Dejagah,2300000.0
37,Bruno Henrique,2000000.0
38,Ismail Azzaoui,750000.0
39,Mario Gómez,12000000.0
40,Bas Dost,7500000.0
41,Borja Mayoral,
42,Victor Osimhen,
