,Players,Values
0,Ron-Robert Zieler,3500000.0
1,Markus Miller,750000.0
2,Pascal Nagel,75000.0
3,Samuel Sahin-Radlinger,
4,Emanuel Pogatetz,5000000.0
5,Karim Haggui,4500000.0
6,Christian Schulz,4500000.0
7,Mario Eggimann,1250000.0
8,Christopher Avevor,300000.0
9,Erdal Akdari,
10,Konstantin Rausch,4000000.0
11,Christian Pander,2000000.0
12,Steven Cherundolo,2000000.0
13,Sofian Chahed,1250000.0
14,Manuel Schmiedebach,5000000.0
15,Henning Hauger,1200000.0
16,Altin Lala,300000.0
17,Tim Wendel,100000.0
18,Sérgio da Silva Pinto,3500000.0
19,Leon Andreasen,1500000.0
20,Jannis Pläschke,
21,Carlitos,1000000.0
22,Deniz Aycicek,75000.0
23,Moritz Stoppelkamp,1250000.0
24,Daniel Royer,800000.0
25,Lars Stindl,3000000.0
26,Jan Schlaudraff,2500000.0
27,Didier Ya Konan,9000000.0
28,Mohammed Abdellaoue,4500000.0
29,Mame Diouf,4000000.0
30,Artur Sobiech,2000000.0
