,Players,Values
0,Thomas Kraft,2500000.0
1,Maikel Aerts,400000.0
2,Sascha Burchert,250000.0
3,Richard Strebinger,75000.0
4,Felix Bastians,4500000.0
5,Maik Franz,3000000.0
6,Roman Hubnik,2500000.0
7,Peter Niemeyer,2250000.0
8,Andre Mijatovic,1500000.0
9,Sebastian Neumann,750000.0
10,Christoph Janker,500000.0
11,John Anthony Brooks,100000.0
12,Nico Schulz,1000000.0
13,Fabian Holland,100000.0
14,Christian Lell,1750000.0
15,Andreas Ottl,2500000.0
16,Fabian Lustenberger,2500000.0
17,Fanol Perdedaj,750000.0
18,Alfredo Morales,200000.0
19,Levan Kobiashvili,750000.0
20,Patrick Ebert,3000000.0
21,Änis Ben-Hatira,2000000.0
22,Ronny,1250000.0
23,Nikita Rukavytsya,1750000.0
24,Tunay Torun,1500000.0
25,Raffael,5000000.0
26,Adrián Ramos,5000000.0
27,Pierre-Michel Lasogga,2500000.0
28,Rob Friend,1000000.0
29,Marco Djuricin,350000.0
30,Abu Bakarr Kargbo,125000.0
