,Players,Values
0,Wojciech Szczesny,15000000.0
1,David Ospina,5000000.0
2,Emiliano Martínez,300000.0
3,Matt Macey,
4,Ryan Huddart,
5,Per Mertesacker,18000000.0
6,Laurent Koscielny,18000000.0
7,Calum Chambers,2000000.0
8,Gabriel Paulista,1500000.0
9,Ignasi Miquel,400000.0
10,Semi Ajayi,
11,Stefan O'Connor,
12,Kieran Gibbs,13000000.0
13,Nacho Monreal,11000000.0
14,Mathieu Debuchy,10000000.0
15,Carl Jenkinson,6000000.0
16,Héctor Bellerín,500000.0
17,Mathieu Flamini,9000000.0
18,Francis Coquelin,3000000.0
19,Isaac Hayden,
20,Glen Kamara,
21,Jack Wilshere,33000000.0
22,Santi Cazorla,30000000.0
23,Aaron Ramsey,20000000.0
24,Mikel Arteta,8000000.0
25,Abou Diaby,2000000.0
26,Gedion Zelalem,
27,Alex Oxlade-Chamberlain,17000000.0
28,Ainsley Maitland-Niles,
29,Mesut Özil,50000000.0
30,Tomás Rosicky,2000000.0
31,Alexis Sánchez,30000000.0
32,Serge Gnabry,4000000.0
33,Alex Iwobi,
34,Theo Walcott,28000000.0
35,Joel Campbell,5000000.0
36,Wellington Silva,400000.0
37,Lukas Podolski,23000000.0
38,Olivier Giroud,20000000.0
39,Danny Welbeck,17000000.0
40,Yaya Sanogo,2000000.0
41,Chuba Akpom,250000.0
