,Players,Values
0,Diego Benaglio,10000000.0
1,Marwin Hitz,600000.0
2,André Lenz,250000.0
3,Simon Kjær,12000000.0
4,Andrea Barzagli,8500000.0
5,Arne Friedrich,6000000.0
6,Alexander Madlung,4500000.0
7,Robin Knoche,
8,Marcel Schäfer,6000000.0
9,Sascha Riether,6000000.0
10,Peter Pekarik,2500000.0
11,Michael Schulze,125000.0
12,Josué,8000000.0
13,Jan Polak,6500000.0
14,Makoto Hasebe,4500000.0
15,Cícero,4500000.0
16,Thomas Kahlenberg,3500000.0
17,Tolga Cigerci,
18,Diego,27000000.0
19,Zvjezdan Misimovic,14500000.0
20,Karim Ziani,5500000.0
21,Ja-cheol Koo,200000.0
22,Tuncay Sanli,8000000.0
23,Fabian Johnson,2000000.0
24,Caiuby,1000000.0
25,Yohandry Orozco,
26,Ashkan Dejagah,3500000.0
27,Akaki Gogia,50000.0
28,Edin Dzeko,30000000.0
29,Grafite,9000000.0
30,Patrick Helmes,8500000.0
31,Dieumerci Mbokani,8000000.0
32,Mario Mandzukic,7500000.0
33,Nassim Ben Khalifa,2500000.0
