,Players,Values
0,Marwin Hitz,2500000.0
1,Alexander Manninger,300000.0
2,Ioannis Gelios,100000.0
3,Yannik Oettl,
4,Ragnar Klavan,2500000.0
5,Jeffrey Gouweleeuw,2500000.0
6,Jan-Ingwer Callsen-Bracker,2500000.0
7,Jeong-ho Hong,1500000.0
8,Christoph Janker,300000.0
9,Max Reinthaler,100000.0
10,Abdul Rahman Baba,5000000.0
11,Konstantinos Stafylidis,2000000.0
12,Philipp Max,600000.0
13,Bastian Kurz,
14,Daniel Opare,3000000.0
15,Paul Verhaegh,2000000.0
16,Raphael Framberger,100000.0
17,Daniel Baier,3000000.0
18,Marco Schuster,100000.0
19,Maik Uhde,100000.0
20,Tim Rieder,100000.0
21,Dominik Kohr,2000000.0
22,Jan Morávek,1200000.0
23,Markus Feulner,1000000.0
24,Arif Ekin,100000.0
25,Erik Thommy,300000.0
26,Ja-cheol Koo,4500000.0
27,Halil Altintop,2000000.0
28,Piotr Trochowski,1000000.0
29,Tobias Werner,3000000.0
30,Caiuby,1000000.0
31,Alexander Esswein,1500000.0
32,Alfred Finnbogason,5000000.0
33,Tim Matavz,3500000.0
34,Raúl Bobadilla,3000000.0
35,Shawn Parker,1750000.0
36,Dong-won Ji,1500000.0
37,Sascha Mölders,1250000.0
38,Albian Ajeti,600000.0
