,Players,Values
0,Thomas Kraft,2250000.0
1,Rune Jarstein,1000000.0
2,Sascha Burchert,400000.0
3,Philip Sprint,100000.0
4,Marius Gersbeck,50000.0
5,John Anthony Brooks,2000000.0
6,Sebastian Langkamp,1750000.0
7,Peter Niemeyer,1750000.0
8,Felix Bastians,500000.0
9,Maik Franz,500000.0
10,Christoph Janker,500000.0
11,Anthony Syhre,50000.0
12,Johannes van den Bergh,1750000.0
13,Nico Schulz,1250000.0
14,Fabian Holland,800000.0
15,Peter Pekarik,2000000.0
16,Fabian Lustenberger,2800000.0
17,Hajime Hosogai,2000000.0
18,Peer Kluge,1000000.0
19,Per Ciljan Skjelbred,2500000.0
20,Tolga Cigerci,1000000.0
21,Marcel Ndjeng,900000.0
22,Levan Kobiashvili,400000.0
23,Ronny,2500000.0
24,Alexander Baumjohann,1750000.0
25,Änis Ben-Hatira,1500000.0
26,Hany Mukhtar,400000.0
27,Pierre-Michel Lasogga,4750000.0
28,Adrián Ramos,4000000.0
29,Sami Allagui,2000000.0
30,Ben Sahar,1000000.0
31,Sandro Wagner,800000.0
