,Players,Values
0,Manuel Neuer,7000000.0
1,Mathias Schober,1000000.0
2,Ralf Fährmann,200000.0
3,Mohamed Amsif,
4,Marcelo Bordon,12000000.0
5,Heiko Westermann,7000000.0
6,Mladen Krstajic,4000000.0
7,Benedikt Höwedes,500000.0
8,Carlos Zambrano,300000.0
9,Philipp Kraska,
10,Joel Matip,
11,Christian Pander,5000000.0
12,Rafinha,12000000.0
13,Marvin Pachan,
14,Fabian Ernst,7000000.0
15,Jermaine Jones,7000000.0
16,Orlando Engelaar,3500000.0
17,Markus Heppke,200000.0
18,Ivan Rakitic,6000000.0
19,Carlos Grossmüller,2000000.0
20,Danny Latza,
21,Gustavo Varela,1800000.0
22,Levan Kobiashvili,4000000.0
23,Albert Streit,5500000.0
24,Halil Altintop,4000000.0
25,Zé Roberto,3000000.0
26,Predrag Stevanovic,
27,Levan Kenia,
28,Vicente Sánchez,3000000.0
29,Jefferson Farfán,14500000.0
30,Kevin Kuranyi,10000000.0
31,Gerald Asamoah,4500000.0
32,Peter Lövenkrands,3000000.0
