,Players,Values
0,Simon Pouplin,2000000.0
1,Michael Langer,500000.0
2,Manuel Salz,300000.0
3,Oliver Baumann,100000.0
4,Ömer Toprak,3000000.0
5,Heiko Butscher,2000000.0
6,Pavel Krmas,1500000.0
7,Felix Bastians,500000.0
8,Oliver Barth,500000.0
9,Jackson Mendy,100000.0
10,Eke Uzoma,1200000.0
11,Du-ri Cha,1000000.0
12,Mensur Mujdza,750000.0
13,Sandro Sirigu,200000.0
14,Julian Schuster,1500000.0
15,Ivica Banovic,1000000.0
16,Andreas Glockner,500000.0
17,Danny Williams,100000.0
18,Cédric Makiadi,2000000.0
19,Johannes Flum,1200000.0
20,David Targamadze,150000.0
21,Daniel Caligiuri,75000.0
22,Alain Junior Ollé Ollé,250000.0
23,Hamed Namouchi,1000000.0
24,Felix Roth,100000.0
25,Jonathan Jäger,1500000.0
26,Yacine Abdessadki,2000000.0
27,Papiss Demba Cissé,1800000.0
28,Mohamadou Idrissou,1700000.0
29,Tommy Bechmann,1500000.0
30,Stefan Reisinger,1500000.0
31,Shqipon Bektasi,50000.0
