,Players,Values
0,Jiri Pavlenka,1500000.0
1,Michael Zetterer,350000.0
2,Jaroslav Drobny,350000.0
3,Luca Plogmann,
4,Lamine Sané,3500000.0
5,Milos Veljkovic,3000000.0
6,Sebastian Langkamp,3000000.0
7,Luca Caldirola,2000000.0
8,Niklas Moisander,2000000.0
9,Jesper Verlaat,350000.0
10,Ludwig Augustinsson,4000000.0
11,Ulisses Garcia,750000.0
12,Thore Jacobsen,275000.0
13,Marco Friedl,
14,Robert Bauer,3500000.0
15,Theodor Gebre Selassie,3000000.0
16,Philipp Bargfrede,1500000.0
17,Zlatko Junuzovic,6500000.0
18,Thomas Delaney,6000000.0
19,Jérôme Gondorf,2000000.0
20,Maximilian Eggestein,2000000.0
21,Niklas Schmidt,300000.0
22,Ole Käuper,200000.0
23,Florian Kainz,3000000.0
24,Milot Rashica,3500000.0
25,Izet Hajrovic,1000000.0
26,Justin Eilers,500000.0
27,Johannes Eggestein,400000.0
28,Max Kruse,12000000.0
29,Ishak Belfodil,6000000.0
30,Fin Bartels,3750000.0
31,Aron Jóhannsson,1500000.0
32,Yuning Zhang,700000.0
