,Players,Values
0,Manuel Neuer,30000000.0
1,Tom Starke,1000000.0
2,Lukas Raeder,150000.0
3,Leopold Zingerle,100000.0
4,Raif Husic,
5,Jérôme Boateng,20000000.0
6,Dante,17000000.0
7,Holger Badstuber,17000000.0
8,Daniel Van Buyten,1500000.0
9,David Alaba,28000000.0
10,Diego Contento,2000000.0
11,Ylli Sallahi,25000.0
12,Philipp Lahm,30000000.0
13,Rafinha,4000000.0
14,Mitchell Weiser,1500000.0
15,Benno Schmitz,25000.0
16,Javi Martínez,37000000.0
17,Luiz Gustavo,18000000.0
18,Jan Kirchhoff,4000000.0
19,Bastian Schweinsteiger,40000000.0
20,Toni Kroos,32000000.0
21,Thiago,22000000.0
22,Pierre-Emile Höjbjerg,500000.0
23,Patrick Weihrauch,250000.0
24,Alessandro Schöpf,200000.0
25,Mario Götze,45000000.0
26,Julian Green,
27,Franck Ribéry,42000000.0
28,Arjen Robben,22000000.0
29,Xherdan Shaqiri,16000000.0
30,Thomas Müller,45000000.0
31,Mario Mandzukic,23000000.0
32,Claudio Pizarro,2750000.0
