,Players,Values
0,Péter Gulácsi,1750000.0
1,Benjamin Bellot,350000.0
2,Fabio Coltorti,300000.0
3,Willi Orban,1800000.0
4,Marvin Compper,1300000.0
5,Atinc Nukan,1000000.0
6,Tim Sebastian,450000.0
7,Alexander Sorge,
8,Anthony Jung,700000.0
9,Marcel Halstenberg,700000.0
10,Lukas Klostermann,500000.0
11,Ken Gipson,
12,Stefan Ilsanker,1500000.0
13,Rani Khedira,1300000.0
14,Diego Demme,800000.0
15,John-Patrick Strauß,150000.0
16,Gino Fechner,
17,Dominik Kaiser,900000.0
18,Felix Beiersdorf,
19,Idrissa Toure,
20,Georg Teigl,900000.0
21,Stefan Hierländer,600000.0
22,Massimo Bruno,4000000.0
23,Zsolt Kalmár,800000.0
24,Emil Forsberg,2000000.0
25,Marcel Sabitzer,4000000.0
26,Agyemang Diawusie,
27,Davie Selke,5000000.0
28,Yussuf Poulsen,2500000.0
29,Terrence Boyd,1500000.0
30,Nils Quaschner,500000.0
