,Players,Values
0,Alexander Schwolow,4000000.0
1,Rafal Gikiewicz,750000.0
2,Patric Klandt,200000.0
3,Caglar Söyüncü,7000000.0
4,Marc Oliver Kempf,4000000.0
5,Manuel Gulde,2500000.0
6,Philipp Lienhart,800000.0
7,Robin Koch,800000.0
8,Georg Niedermeier,600000.0
9,Christian Günter,3500000.0
10,Gaëtan Bussmann,2000000.0
11,Chima Okoroji,50000.0
12,Pascal Stenzel,3000000.0
13,Aleksandar Ignjovski,1500000.0
14,Lukas Kübler,1250000.0
15,Mohamed Dräger,
16,Nicolas Höfler,3500000.0
17,Amir Abrashi,2500000.0
18,Jonas Meffert,800000.0
19,Patrick Kammerbauer,500000.0
20,Julian Schuster,500000.0
21,Caleb Stanko,400000.0
22,Mike Frantz,2500000.0
23,Vincent Sierro,1000000.0
24,Bartosz Kapustka,6000000.0
25,Janik Haberer,4500000.0
26,Marco Terrazzino,1500000.0
27,Ryan Kent,500000.0
28,Florian Kath,275000.0
29,Yoric Ravet,3000000.0
30,Onur Bulut,1500000.0
31,Florian Niederlechner,5500000.0
32,Nils Petersen,4500000.0
33,Tim Kleindienst,800000.0
34,Lucas Höler,650000.0
35,Karim Guédé,350000.0
