,Players,Values
0,David de Gea,12000000.0
1,Anders Lindegaard,3200000.0
2,Tomasz Kuszczak,3000000.0
3,Ben Amos,
4,Nemanja Vidic‎,37000000.0
5,Rio Ferdinand,20000000.0
6,Jonny Evans,9000000.0
7,Chris Smalling,5000000.0
8,Phil Jones,3500000.0
9,Reece Brown,
10,Tom Thorpe,
11,Michael Keane,
12,Patrice Evra,27000000.0
13,Zeki Fryers,
14,Antonio Valencia,19000000.0
15,Rafael,10000000.0
16,Fábio,3500000.0
17,Ritchie De Laet,1250000.0
18,Marnick Vermijl,
19,Michael Carrick,18000000.0
20,Darren Fletcher,22000000.0
21,Anderson,21000000.0
22,Paul Scholes,4500000.0
23,Darron Gibson,3500000.0
24,Tom Cleverley,2500000.0
25,Paul Pogba,
26,Larnell Cole,
27,Ashley Young,18000000.0
28,Ryan Giggs,4500000.0
29,Ji-seong Park,12000000.0
30,Ravel Morrison,
31,Nani,28000000.0
32,Jesse Lingard,
33,Wayne Rooney,52000000.0
34,Dimitar Berbatov,28000000.0
35,Chicharito,11000000.0
36,Michael Owen,7000000.0
37,Danny Welbeck,6000000.0
38,Mame Diouf,4000000.0
39,Federico Macheda,2800000.0
40,Will Keane,
