,Players,Values
0,Roman Weidenfeller,5000000.0
1,Mitchell Langerak,800000.0
2,Zlatan Alomerovic,200000.0
3,Hendrik Bonmann,100000.0
4,Mats Hummels,26000000.0
5,Neven Subotic,20000000.0
6,Sven Bender,16000000.0
7,Sokratis,10000000.0
8,Manuel Friedrich,1000000.0
9,Koray Günter,500000.0
10,Marian Sarr,200000.0
11,Marcel Schmelzer,10000000.0
12,Jannik Bandowski,50000.0
13,Lukasz Piszczek,16000000.0
14,Kevin Großkreutz,7000000.0
15,Erik Durm,200000.0
16,Nuri Sahin,8000000.0
17,Sebastian Kehl,2100000.0
18,Oliver Kirch,600000.0
19,Ilkay Gündogan,27000000.0
20,Milos Jojic,900000.0
21,Jonas Hofmann,500000.0
22,Mustafa Amini,200000.0
23,Jakub Blaszczykowski,18000000.0
24,Marco Reus,34000000.0
25,Henrikh Mkhitaryan,22000000.0
26,Tammo Harder,
27,Robert Lewandowski,39000000.0
28,Pierre-Emerick Aubameyang,15000000.0
29,Julian Schieber,4200000.0
30,Marvin Ducksch,600000.0
