,Players,Values
0,Sven Ulreich,6000000.0
1,Thorsten Kirschbaum,1000000.0
2,Kevin Müller,500000.0
3,Odysseas Vlachodimos,400000.0
4,Serdar Tasci,9000000.0
5,Georg Niedermeier,3000000.0
6,Antonio Rüdiger,2750000.0
7,Daniel Schwaab,2500000.0
8,Karim Haggui,2500000.0
9,Benedikt Röcker,450000.0
10,Konstantin Rausch,5000000.0
11,Cristian Molinaro,2500000.0
12,Arthur Boka,2000000.0
13,Tim Leibold,
14,Gotoku Sakai,4000000.0
15,William Kvist,5500000.0
16,Tobias Rathgeb,300000.0
17,Rani Khedira,300000.0
18,Robin Yalcin,300000.0
19,Carlos Gruezo,
20,Christian Gentner,6000000.0
21,Moritz Leitner,5000000.0
22,Raphael Holzhauser,3000000.0
23,Sercan Sararer,2500000.0
24,Alexandru Maxim,3000000.0
25,Daniel Didavi,1500000.0
26,Johan Audel,375000.0
27,Ibrahima Traoré,4000000.0
28,Tunay Torun,1500000.0
29,Marco Rojas,1000000.0
30,Vedad Ibisevic,10000000.0
31,Martin Harnik,9000000.0
32,Mohammed Abdellaoue,5500000.0
33,Cacau,1500000.0
34,Timo Werner,
