,Players,Values
0,Ederson,50000000.0
1,Claudio Bravo,3500000.0
2,Arijanet Muric,
3,John Stones,55000000.0
4,Aymeric Laporte,50000000.0
5,Nicolás Otamendi,35000000.0
6,Eliaquim Mangala,15000000.0
7,Vincent Kompany,10000000.0
8,Philippe Sandler,2500000.0
9,Benjamin Mendy,40000000.0
10,Kyle Walker,50000000.0
11,Danilo,20000000.0
12,Fernandinho,15000000.0
13,Ilkay Gündogan,40000000.0
14,Fabian Delph,15000000.0
15,Oleksandr Zinchenko,15000000.0
16,Phil Foden,7000000.0
17,Kevin De Bruyne,150000000.0
18,David Silva,30000000.0
19,Brahim Díaz,5000000.0
20,Leroy Sané,90000000.0
21,Raheem Sterling,90000000.0
22,Riyad Mahrez,60000000.0
23,Bernardo Silva,50000000.0
24,Sergio Agüero,80000000.0
25,Gabriel Jesus,80000000.0
