,Players,Values
0,Hugo Lloris,15000000.0
1,Heurelho Gomes,1000000.0
2,Brad Friedel,1000000.0
3,Jordan Archer,
4,Jan Vertonghen,19000000.0
5,Younès Kaboul,13500000.0
6,Michael Dawson,9000000.0
7,Vlad Chiriches,6000000.0
8,Milos Veljkovic,
9,Dominic Ball,
10,Danny Rose,5000000.0
11,Zeki Fryers,3500000.0
12,Connor Ogilvie,
13,Kyle Walker,16000000.0
14,Kyle Naughton,5000000.0
15,Ryan Fredericks,
16,Sandro,16000000.0
17,Étienne Capoue,13000000.0
18,Nabil Bentaleb,
19,Mousa Dembélé,21000000.0
20,Paulinho,12000000.0
21,Tom Carroll,1000000.0
22,Laste Dombaxe,
23,Harry Winks,
24,Kenny McEvoy,
25,Christian Eriksen,18000000.0
26,Lewis Holtby,11000000.0
27,Gylfi Sigurdsson,8000000.0
28,Alex Pritchard,
29,Josh Onomah,
30,Nacer Chadli,9000000.0
31,Érik Lamela,23000000.0
32,Aaron Lennon,16000000.0
33,Iago Falque,2000000.0
34,Andros Townsend,500000.0
35,Roberto Soldado,28000000.0
36,Emmanuel Adebayor,13000000.0
37,Jermain Defoe,10000000.0
38,Harry Kane,500000.0
39,Jonathan Obika,
40,Shaq Coulthirst,
