,Players,Values
0,Timo Hildebrand,1500000.0
1,Ralf Fährmann,800000.0
2,Lars Unnerstall,750000.0
3,Benedikt Höwedes,18000000.0
4,Kyriakos Papadopoulos,18000000.0
5,Joel Matip,11000000.0
6,Roman Neustädter,7000000.0
7,Felipe Santana,5000000.0
8,Tim Hoogland,600000.0
9,Marvin Friedrich,
10,Kaan Ayhan,
11,Dennis Aogo,6500000.0
12,Christian Fuchs,6000000.0
13,Sead Kolasinac,2750000.0
14,Philipp Max,100000.0
15,Atsuto Uchida,4000000.0
16,Jan Kirchhoff,4000000.0
17,Jermaine Jones,3750000.0
18,Anthony Annan,1200000.0
19,Dennis Erdmann,125000.0
20,Marcel Sobottka,
21,Marco Höger,6000000.0
22,Leon Goretzka,4500000.0
23,Julian Draxler,22000000.0
24,Tranquillo Barnetta,3000000.0
25,Max Meyer,1000000.0
26,Leroy Sané,
27,Donis Avdijaj,
28,Jefferson Farfán,15000000.0
29,Christian Clemens,3500000.0
30,Chinedu Obasi,1500000.0
31,Robert Leipertz,150000.0
32,Kevin-Prince Boateng,15000000.0
33,Klaas-Jan Huntelaar,14000000.0
34,Ádám Szalai,7000000.0
35,Teemu Pukki,2500000.0
36,Philipp Hofmann,600000.0
37,Gerald Asamoah,400000.0
