,Players,Values
0,Raphael Wolf,2000000.0
1,Felix Wiedwald,1500000.0
2,Gerhard Tremmel,1000000.0
3,Michael Zetterer,150000.0
4,Eric Oelschlägel,50000.0
5,Papy Djilobodji,6500000.0
6,Alejandro Gálvez,3500000.0
7,Jannik Vestergaard,3000000.0
8,Assani Lukimya,1250000.0
9,Mateo Pavlovic,750000.0
10,Milos Veljkovic,250000.0
11,Oliver Hüsing,250000.0
12,Santiago García,3000000.0
13,Janek Sternberg,500000.0
14,Ulisses Garcia,150000.0
15,Leon Guwara,125000.0
16,Theodor Gebre Selassie,2500000.0
17,Marnon Busch,500000.0
18,Luca Zander,200000.0
19,Philipp Bargfrede,1750000.0
20,Lukas Fröde,125000.0
21,Zlatko Junuzovic,7000000.0
22,Felix Kroos,2000000.0
23,Sambou Yatabaré,1500000.0
24,Clemens Fritz,750000.0
25,Maximilian Eggestein,250000.0
26,Julian von Haacke,200000.0
27,Florian Grillitsch,100000.0
28,Levent Aycicek,1000000.0
29,Özkan Yildirim,600000.0
30,László Kleinheisler,150000.0
31,Melvyn Lorenzen,500000.0
32,Izet Hajrovic,3000000.0
33,Levin Öztunali,2500000.0
34,Marcel Hilßner,150000.0
35,Fin Bartels,2750000.0
36,Aron Jóhannsson,4000000.0
37,Anthony Ujah,3000000.0
38,Claudio Pizarro,1000000.0
