,Players,Values
0,Roman Bürki,8500000.0
1,Marwin Hitz,3000000.0
2,Eric Oelschlägel,300000.0
3,Manuel Akanji,33000000.0
4,Abdou Diallo,25000000.0
5,Ömer Toprak,12000000.0
6,Dan-Axel Zagadou,8000000.0
7,Raphaël Guerreiro,18000000.0
8,Marcel Schmelzer,5000000.0
9,Achraf Hakimi,11000000.0
10,Jeremy Toljan,5000000.0
11,Lukasz Piszczek,4000000.0
12,Axel Witsel,30000000.0
13,Julian Weigl,25000000.0
14,Dzenis Burnic,1000000.0
15,Thomas Delaney,22000000.0
16,Mahmoud Dahoud,18000000.0
17,Sebastian Rode,3000000.0
18,Marco Reus,40000000.0
19,Mario Götze,18000000.0
20,Shinji Kagawa,11000000.0
21,Sergio Gómez,2000000.0
22,Jadon Sancho,45000000.0
23,Jacob Bruun Larsen,15000000.0
24,Christian Pulisic,45000000.0
25,Marius Wolf,10000000.0
26,Paco Alcácer,30000000.0
27,Maximilian Philipp,20000000.0
28,Alexander Isak,4500000.0
