,Players,Values
0,Ron-Robert Zieler,7000000.0
1,Alexander Meyer,400000.0
2,Jens Grahl,250000.0
3,Benjamin Pavard,40000000.0
4,Timo Baumgartl,12000000.0
5,Marc Oliver Kempf,5000000.0
6,Holger Badstuber,5000000.0
7,Borna Sosa,6000000.0
8,Emiliano Insúa,5000000.0
9,Dennis Aogo,1500000.0
10,Pablo Maffeo,10000000.0
11,Andreas Beck,3000000.0
12,Santiago Ascacíbar,25000000.0
13,Hans Nunoo Sarpei,300000.0
14,Gonzalo Castro,6000000.0
15,Christian Gentner,2000000.0
16,Erik Thommy,5000000.0
17,Daniel Didavi,7000000.0
18,Berkay Özcan,2500000.0
19,David Kopacz,350000.0
20,Chadrac Akolo,5000000.0
21,Nicólas González,8000000.0
22,Mario Gómez,6000000.0
23,Anastasios Donis,3000000.0
