,Players,Values
0,Raphael Schäfer,2500000.0
1,Daniel Klewer,600000.0
2,Alexander Stephan,100000.0
3,Andreas Sponsel,
4,Javier Pinola,4500000.0
5,Andreas Wolf,4000000.0
6,José Goncalves,1000000.0
7,Jacques Abardonado,1000000.0
8,Aleksandar Mitreski,750000.0
9,Matthew Spiranovic,700000.0
10,Michael Kammermeyer,50000.0
11,Dominic Maroh,50000.0
12,Pascal Bieler,450000.0
13,Dominik Reinhardt,2000000.0
14,Dennis Diekmeier,
15,Peer Kluge,3500000.0
16,Jaouhar Mnari,2500000.0
17,Marco Engelhardt,2000000.0
18,Juri Judt,1000000.0
19,Peter Perchtold,300000.0
20,Jonatan Kotzke,
21,Stefan Reinartz,
22,Ilkay Gündogan,50000.0
23,Mike Frantz,
24,Marek Mintal,3750000.0
25,Daniel Gygax,1700000.0
26,Ioannis Masmanidis,1000000.0
27,Dario Vidosic,250000.0
28,Christian Eigler,2200000.0
29,Mario Breska,850000.0
30,Marcel Risse,50000.0
31,Róbert Vittek,3500000.0
32,Angelos Charisteas,3000000.0
33,Isaac Boakye,800000.0
34,Chhunly Pagenburg,400000.0
35,Albert Bunjaku,300000.0
36,Markus Fuchs,75000.0
