,Players,Values
0,Pepe Reina,16000000.0
1,Brad Jones,1500000.0
2,Péter Gulácsi,
3,Danny Ward,
4,Martin Skrtel,18000000.0
5,Daniel Agger,15000000.0
6,Sebastián Coates,5000000.0
7,Jamie Carragher,2000000.0
8,Danny Wilson,1500000.0
9,Conor Coady,
10,Stephen Sama,
11,Lloyd Jones,
12,José Enrique,13000000.0
13,Jack Robinson,
14,Glen Johnson,12000000.0
15,Martin Kelly,5000000.0
16,Jon Flanagan,1500000.0
17,Andre Wisdom,
18,Nuri Sahin,18000000.0
19,Lucas Leiva,15000000.0
20,Jay Spearing,3000000.0
21,Steven Gerrard,15500000.0
22,Jordan Henderson,15000000.0
23,Charlie Adam,8000000.0
24,Joe Allen,4000000.0
25,Jonjo Shelvey,3000000.0
26,Stewart Downing,12000000.0
27,Joe Cole,7500000.0
28,Philippe Coutinho,7000000.0
29,Fabio Borini,8000000.0
30,Oussama Assaidi,7000000.0
31,Dani Pacheco,600000.0
32,Jordon Ibe,250000.0
33,Suso,
34,Raheem Sterling,
35,Luis Suárez,29000000.0
36,Daniel Sturridge,16000000.0
37,Andy Carroll,15500000.0
38,Samed Yesil,600000.0
39,Adam Morgan,
40,Jerome Sinclair,
