,Players,Values
0,Oliver Baumann,8000000.0
1,Jens Grahl,750000.0
2,Alexander Stolz,100000.0
3,Fabian Schär,8000000.0
4,Niklas Süle,5500000.0
5,Ermin Bicakcic,3500000.0
6,Benedikt Gimber,
7,Jin-su Kim,2500000.0
8,Jonathan Schmid,4500000.0
9,Pavel Kaderabek,3000000.0
10,Jeremy Toljan,800000.0
11,Pirmin Schwegler,5500000.0
12,Sebastian Rudy,5000000.0
13,Eugen Polanski,4500000.0
14,Tobias Strobl,3000000.0
15,Matheus Biteco,1500000.0
16,Russell Canouse,50000.0
17,Jiloan Hamad,1000000.0
18,Steven Zuber,3000000.0
19,Nadiem Amiri,350000.0
20,Baris Atik,100000.0
21,Tarik Elyounoussi,4500000.0
22,Kai Herdling,750000.0
23,Philipp Ochs,
24,Kevin Volland,20000000.0
25,Andrej Kramaric,8000000.0
26,Ádám Szalai,6000000.0
27,Eduardo Vargas,6000000.0
28,Kevin Kuranyi,2500000.0
29,Mark Uth,1750000.0
30,Joelinton,1250000.0
