,Players,Values
0,Diego Benaglio,6000000.0
1,Koen Casteels,1500000.0
2,Max Grün,500000.0
3,Niklas Klinger,25000.0
4,Robin Knoche,12000000.0
5,Dante,11000000.0
6,Naldo,5000000.0
7,Timm Klose,2500000.0
8,Felipe Lopes,750000.0
9,Moritz Sprenger,100000.0
10,Ricardo Rodríguez,28000000.0
11,Vieirinha,7000000.0
12,Marcel Schäfer,2000000.0
13,Jannes Horn,
14,Sebastian Jung,6500000.0
15,Luiz Gustavo,22000000.0
16,Josuha Guilavogui,12000000.0
17,Christian Träsch,3000000.0
18,Paul Seguin,200000.0
19,Maximilian Arnold,10000000.0
20,Carlos Ascues,500000.0
21,Daniel Caligiuri,5000000.0
22,Francisco Rodríguez,900000.0
23,Kevin De Bruyne,35000000.0
24,Julian Draxler,25000000.0
25,Aaron Hunt,5000000.0
26,André Schürrle,30000000.0
27,Ivan Perisic,11000000.0
28,Leandro Putaro,
29,Bruno Henrique,750000.0
30,Sebastian Stolze,200000.0
31,Ismail Azzaoui,
32,Max Kruse,12000000.0
33,Bas Dost,6500000.0
34,Nicklas Bendtner,3500000.0
