,Players,Values
0,Christian Wetklo,1000000.0
1,Heinz Müller,500000.0
2,Loris Karius,200000.0
3,Christian Mathenia,50000.0
4,Niko Bungert,3500000.0
5,Marco Caligiuri,2500000.0
6,Nikolce Noveski,1250000.0
7,Bo Svensson,800000.0
8,Stefan Bell,800000.0
9,Júnior Díaz,950000.0
10,Radoslav Zabavník,800000.0
11,Zdenek Pospech,1500000.0
12,Tobias Schilk,150000.0
13,Benedikt Saller,75000.0
14,Eugen Polanski,4000000.0
15,Niki Zimling,3000000.0
16,Jan Kirchhoff,3000000.0
17,Julian Baumgartlinger,2500000.0
18,Elkin Soto,2000000.0
19,Andreas Ivanschitz,3500000.0
20,Yunus Malli,800000.0
21,Nejmeddin Daghfous,175000.0
22,Nicolai Müller,3000000.0
23,Marcel Risse,2250000.0
24,Nikita Rukavytsya,1750000.0
25,Chinedu Ede,900000.0
26,Eric Maxim Choupo-Moting,3500000.0
27,Ádám Szalai,3000000.0
28,Anthony Ujah,1750000.0
29,Ivan Klasnic,1250000.0
30,Petar Sliskovic,400000.0
31,Shawn Parker,150000.0
