,Players,Values
0,Sven Neuhaus,900000.0
1,Alexander Moritz,
2,Benjamin Bellot,
3,Thomas Kläsener,550000.0
4,Ingo Hertzsch,500000.0
5,Lars Müller,500000.0
6,Stefan Schumann,
7,Nicolas Warz,
8,Patrick Kunig,
9,Sebastian Albert,150000.0
10,Frank Räbsch,
11,Timo Rost,1800000.0
12,Daniel Rosin,200000.0
13,Patrick Bick,150000.0
14,Toni Jurascheck,
15,Marcel Nüchtern,
16,Michael Lerchl,100000.0
17,Mario Schaaf,
18,Christian Streit,
19,Sebastian Wille,
20,Ronny Kujat,
21,Christian Mittenzwei,
22,Robert Scannewin,
23,Nico Frommer,300000.0
24,Jochen Höfler,100000.0
25,Christian Reimann,75000.0
26,Robert Klauß,
27,Sebastian Hauck,
