,Players,Values
0,Petr Cech,25000000.0
1,Ross Turnbull,1500000.0
2,Henrique Hilário,500000.0
3,David Luiz,23000000.0
4,Branislav Ivanovic,21000000.0
5,John Terry,17500000.0
6,Gary Cahill,16500000.0
7,Nathan Aké,
8,Andreas Christensen,
9,Ashley Cole,12500000.0
10,Ryan Bertrand,2500000.0
11,César Azpilicueta,7500000.0
12,Paulo Ferreira,1000000.0
13,Michael Essien,24000000.0
14,John Mikel Obi,19000000.0
15,Oriol Romeu,8000000.0
16,Josh McEachran,4500000.0
17,Nathaniel Chalobah,
18,Ramires,30000000.0
19,Raúl Meireles,15000000.0
20,Frank Lampard,5500000.0
21,Florent Malouda,5500000.0
22,George Saville,
23,Juan Mata,38000000.0
24,Oscar,10000000.0
25,Eden Hazard,33000000.0
26,Marko Marin,13000000.0
27,Lucas Piazón,7500000.0
28,Victor Moses,6500000.0
29,Yossi Benayoun,4500000.0
30,Fernando Torres,35000000.0
31,Daniel Sturridge,16000000.0
32,Demba Ba,15000000.0
33,Romelu Lukaku,14000000.0
