,Players,Values
0,Heurelho Gomes,8500000.0
1,Carlo Cudicini,1000000.0
2,Ben Alnwick,800000.0
3,Jimmy Walker,150000.0
4,David Button,
5,Vedran Corluka,13000000.0
6,Jonathan Woodgate,10000000.0
7,Ledley King,9500000.0
8,Michael Dawson,7000000.0
9,Younès Kaboul,5700000.0
10,Sébastien Bassong,5200000.0
11,Dorian Dervite,500000.0
12,Benoît Assou-Ekotto,4800000.0
13,Danny Rose,500000.0
14,Alan Hutton,7500000.0
15,Pascal Chimbonda,5000000.0
16,Kyle Naughton,400000.0
17,Kyle Walker,
18,Ryan Fredericks,
19,Wilson Palacios,13500000.0
20,Tom Huddlestone,6500000.0
21,Jake Livermore,
22,Luka Modric,18500000.0
23,Jermaine Jenas,13000000.0
24,Jamie O'Hara,3700000.0
25,Dean Parrett,
26,David Bentley,13000000.0
27,Niko Kranjcar,9250000.0
28,Adel Taarabt,1700000.0
29,Paul-José Mpoku,
30,Aaron Lennon,15000000.0
31,Gareth Bale,8500000.0
32,Andros Townsend,
33,Giovani dos Santos,5500000.0
34,Robbie Keane,19000000.0
35,Jermain Defoe,13500000.0
36,Roman Pavlyuchenko,11000000.0
37,Peter Crouch,10000000.0
38,Eidur Gudjohnsen,5000000.0
39,Kevin-Prince Boateng,3000000.0
40,Harry Kane,
