,Players,Values
0,Kevin Trapp,6000000.0
1,Felix Wiedwald,1250000.0
2,Aykut Özer,150000.0
3,Marco Aulbach,75000.0
4,Carlos Zambrano,6000000.0
5,Bamba Anderson,3000000.0
6,Marco Russ,1500000.0
7,Alexander Madlung,800000.0
8,Marc Oliver Kempf,500000.0
9,Alexander Hien,100000.0
10,Constant Djakpa,700000.0
11,Sebastian Jung,6000000.0
12,Stefano Celozzi,1500000.0
13,Erik Wille,100000.0
14,Pirmin Schwegler,6000000.0
15,Martin Lanig,1000000.0
16,Sebastian Rode,9000000.0
17,Johannes Flum,3000000.0
18,Tobias Weis,1500000.0
19,Marc Stendera,800000.0
20,Marvin Bakalorz,200000.0
21,Bastian Oczipka,4000000.0
22,Tranquillo Barnetta,3000000.0
23,Stephan Schröck,1000000.0
24,Takashi Inui,5000000.0
25,Sonny Kittel,1000000.0
26,Stefan Aigner,4500000.0
27,Jan Rosenthal,3000000.0
28,Alexander Meier,3000000.0
29,Vaclav Kadlec,5000000.0
30,Joselu,4500000.0
31,Srdjan Lakic,1750000.0
32,Luca Waldschmidt,
