,Players,Values
0,Roman Bürki,6000000.0
1,Roman Weidenfeller,1000000.0
2,Hendrik Bonmann,150000.0
3,Sokratis,22000000.0
4,Matthias Ginter,13000000.0
5,Neven Subotic,11000000.0
6,Sven Bender,9000000.0
7,Marc Bartra,8000000.0
8,Raphaël Guerreiro,9000000.0
9,Marcel Schmelzer,7000000.0
10,Ju-ho Park,2500000.0
11,Lukasz Piszczek,6000000.0
12,Erik Durm,5000000.0
13,Felix Passlack,500000.0
14,Julian Weigl,14000000.0
15,Nuri Sahin,6500000.0
16,Mikel Merino,2000000.0
17,Dzenis Burnic,
18,Gonzalo Castro,14000000.0
19,Sebastian Rode,8000000.0
20,Marco Reus,45000000.0
21,Mario Götze,35000000.0
22,Shinji Kagawa,14000000.0
23,André Schürrle,18000000.0
24,Ousmane Dembélé,12000000.0
25,Emre Mor,1000000.0
26,Jacob Bruun Larsen,
27,Christian Pulisic,1000000.0
28,Pierre-Emerick Aubameyang,45000000.0
29,Adrián Ramos,5000000.0
30,Alexander Isak,400000.0
