,Players,Values
0,Lukasz Fabianski,4000000.0
1,Manuel Almunia,3000000.0
2,Wojciech Szczesny,2000000.0
3,Vito Mannone,1000000.0
4,Emiliano Martínez,
5,Thomas Vermaelen,18000000.0
6,Per Mertesacker,12500000.0
7,Laurent Koscielny,10000000.0
8,Johan Djourou,6500000.0
9,Sébastien Squillaci,6000000.0
10,Daniel Boateng,50000.0
11,Ignasi Miquel,
12,Kieran Gibbs,3500000.0
13,Armand Traoré,1500000.0
14,Jernade Meade,
15,Bacary Sagna,17000000.0
16,Carl Jenkinson,50000.0
17,Alex Song,17000000.0
18,Francis Coquelin,1300000.0
19,Craig Eastmond,500000.0
20,Emmanuel Frimpong,200000.0
21,Nico Yennaris,
22,Mikel Arteta,17000000.0
23,Jack Wilshere,10000000.0
24,Abou Diaby,9000000.0
25,Aaron Ramsey,6000000.0
26,Henri Lansbury,600000.0
27,Oguzhan Özyakup,175000.0
28,Alex Oxlade-Chamberlain,2500000.0
29,Tomás Rosicky,7500000.0
30,André Santos,6500000.0
31,Chuks Aneke,50000.0
32,Samir Nasri,25000000.0
33,Gervinho,16000000.0
34,Ryo Miyaichi,2000000.0
35,Sanchez Watt,500000.0
36,Theo Walcott,14000000.0
37,Yossi Benayoun,11000000.0
38,Gilles Sunu,500000.0
39,Andrey Arshavin,21000000.0
40,Robin van Persie,24000000.0
41,Marouane Chamakh,17000000.0
42,Nicklas Bendtner,8500000.0
43,Ju-yeong Park,7000000.0
44,Thierry Henry,3000000.0
