,Players,Values
0,Bernd Leno,9500000.0
1,David Yelldell,200000.0
2,Niklas Lomb,150000.0
3,Andrés Palop,100000.0
4,Philipp Wollscheid,9500000.0
5,Ömer Toprak,8750000.0
6,Emir Spahic,3000000.0
7,Malcolm Cacutalua,
8,Sebastian Boenisch,2750000.0
9,Konstantinos Stafylidis,2000000.0
10,Roberto Hilbert,5000000.0
11,Danny da Costa,1300000.0
12,Giulio Donati,750000.0
13,Lars Bender,20000000.0
14,Stefan Reinartz,7500000.0
15,Simon Rolfes,3500000.0
16,Emre Can,1500000.0
17,Jonas Meffert,100000.0
18,Gonzalo Castro,10000000.0
19,Andrés Guardado,7000000.0
20,Jens Hegeler,2500000.0
21,Dominik Kohr,500000.0
22,Alexander Mühling,100000.0
23,Maximilian Wagener,
24,Seung-uh Ryu,
25,Heung-min Son,14000000.0
26,Robbie Kruse,2750000.0
27,Junior Fernandes,2500000.0
28,Julian Brandt,
29,Sidney Sam,6000000.0
30,Karim Bellarabi,2500000.0
31,Levin Öztunali,
32,Stefan Kießling,13000000.0
33,Eren Derdiyok,3000000.0
34,Arkadiusz Milik,2500000.0
