,Players,Values
0,Yann Sommer,8000000.0
1,Christofer Heimeroth,375000.0
2,Janis Blaswich,200000.0
3,Álvaro Domínguez,8000000.0
4,Havard Nordtveit,6500000.0
5,Tony Jantschke,5500000.0
6,Martin Stranzl,2500000.0
7,Roel Brouwers,1000000.0
8,Marvin Schulz,
9,Oscar Wendt,4000000.0
10,Filip Daems,1000000.0
11,Julian Korb,1500000.0
12,Granit Xhaka,10000000.0
13,Christoph Kramer,5500000.0
14,Thorben Marx,600000.0
15,Nico Brandenburger,100000.0
16,Bilal Sezer,50000.0
17,Mahmoud Dahoud,150000.0
18,Marlon Ritter,100000.0
19,Thorgan Hazard,10000000.0
20,Fabian Johnson,4000000.0
21,Patrick Herrmann,9500000.0
22,André Hahn,5000000.0
23,Ibrahima Traoré,4000000.0
24,Max Kruse,10000000.0
25,Raffael,8000000.0
26,Branimir Hrgota,1750000.0
