,Players,Values
0,Timo Hildebrand,10000000.0
1,Ramazan Özcan,1250000.0
2,Daniel Haas,300000.0
3,Thorsten Kirschbaum,300000.0
4,Daniel Bernhardt,
5,Per Nilsson,1500000.0
6,Marvin Compper,900000.0
7,Isaac Vorsah,600000.0
8,Matthias Jaissle,500000.0
9,Christoph Janker,250000.0
10,Aytac Sulu,
11,Fabrício,
12,Kevin Conrad,
13,Andreas Ibertsberger,1500000.0
14,Zsolt Löw,750000.0
15,Andreas Beck,1500000.0
16,Jonas Strifler,
17,Luiz Gustavo,1000000.0
18,Sejad Salihovic,2500000.0
19,Selim Teber,600000.0
20,Tobias Weis,450000.0
21,Pascal Groß,
22,Dragan Paljic,500000.0
23,Carlos Eduardo,5000000.0
24,Jochen Seitz,500000.0
25,Kai Herdling,100000.0
26,Marco Terrazzino,
27,Chinedu Obasi,3500000.0
28,Boris Vukcevic,
29,Francisco Copado,1000000.0
30,Boubacar Sanogo,5500000.0
31,Demba Ba,3000000.0
32,Wellington,900000.0
33,Vedad Ibisevic,800000.0
