,Players,Values
0,Rune Jarstein,2500000.0
1,Thomas Kraft,1000000.0
2,Marius Gersbeck,350000.0
3,Dennis Smarsch,200000.0
4,Jonathan Klinsmann,150000.0
5,Niklas Stark,20000000.0
6,Karim Rekik,15000000.0
7,Jordan Torunarigha,10000000.0
8,Derrick Luckassen,3500000.0
9,Florian Baak,400000.0
10,Marvin Plattenhardt,17000000.0
11,Maximilian Mittelstädt,4000000.0
12,Valentino Lazaro,15000000.0
13,Lukas Klünter,2500000.0
14,Peter Pekarik,1750000.0
15,Arne Maier,15000000.0
16,Fabian Lustenberger,2500000.0
17,Vladimir Darida,8000000.0
18,Marko Grujic,5000000.0
19,Per Ciljan Skjelbred,4000000.0
20,Sidney Friede,100000.0
21,Ondrej Duda,8000000.0
22,Julius Kade,400000.0
23,Javairô Dilrosun,7000000.0
24,Salomon Kalou,3500000.0
25,Dennis Jastrzembski,800000.0
26,Sinan Kurt,125000.0
27,Mathew Leckie,4000000.0
28,Alexander Esswein,2000000.0
29,Palko Dárdai,600000.0
30,Maurice Covic,200000.0
31,Davie Selke,15000000.0
32,Pascal Köpke,2000000.0
33,Vedad Ibisevic,2000000.0
34,Muhammed Kiprit,500000.0
