,Players,Values
0,Tom Starke,3000000.0
1,Daniel Haas,750000.0
2,Koen Casteels,300000.0
3,Isaac Vorsah,6500000.0
4,Marvin Compper,3000000.0
5,Josip Simunic,2500000.0
6,Matthias Jaissle,1000000.0
7,Sandro Wieser,500000.0
8,Manuel Gulde,400000.0
9,Jannik Vestergaard,250000.0
10,Stefan Thesker,100000.0
11,Kevin Conrad,50000.0
12,Andreas Ibertsberger,2000000.0
13,Edson Braafheid,2000000.0
14,Andreas Beck,6500000.0
15,Sebastian Rudy,6500000.0
16,Danny Williams,500000.0
17,Tobias Strobl,125000.0
18,Sejad Salihovic,7000000.0
19,Tobias Weis,2500000.0
20,Dominik Kaiser,100000.0
21,Gylfi Sigurdsson,7500000.0
22,Ryan Babel,7000000.0
23,Fabian Johnson,1250000.0
24,Knowledge Musona,800000.0
25,Joseph-Claude Gyau,25000.0
26,Chinedu Obasi,6000000.0
27,Boris Vukcevic,3000000.0
28,Roberto Firmino,4000000.0
29,Vedad Ibisevic,6000000.0
30,Srdjan Lakic,6000000.0
31,Peniel Mlapa,3000000.0
32,Prince Tagoe,2500000.0
33,Sven Schipplock,750000.0
34,Denis Thomalla,250000.0
