,Players,Values
0,Andreas Luthe,500000.0
1,Fabian Giefer,350000.0
2,Benjamin Leneis,50000.0
3,Martin Hinteregger,10000000.0
4,Jeffrey Gouweleeuw,8000000.0
5,Kevin Danso,6000000.0
6,Jan-Ingwer Callsen-Bracker,250000.0
7,Jozo Stanic,200000.0
8,Christoph Janker,150000.0
9,Philipp Max,20000000.0
10,Konstantinos Stafylidis,3500000.0
11,Kilian Jakob,200000.0
12,Jonathan Schmid,2500000.0
13,Raphael Framberger,1500000.0
14,Simon Asta,250000.0
15,Rani Khedira,3500000.0
16,Felix Götze,1000000.0
17,Daniel Baier,1000000.0
18,Felix Schwarzholz,100000.0
19,Jan Morávek,750000.0
20,Georg Teigl,500000.0
21,Ja-cheol Koo,3500000.0
22,Fredrik Jensen,3000000.0
23,Romario Roesch,200000.0
24,Caiuby,5000000.0
25,André Hahn,3500000.0
26,Michael Gregoritsch,18000000.0
27,Marco Richter,4000000.0
28,Alfred Finnbogason,12000000.0
29,Sergio Córdova,1500000.0
30,Julian Schieber,1000000.0
31,Dong-won Ji,1000000.0
