,Players,Values
0,Joe Hart,16000000.0
1,Willy Caballero,5000000.0
2,Richard Wright,250000.0
3,Vincent Kompany,35000000.0
4,Eliaquim Mangala,23000000.0
5,Matija Nastasic,21000000.0
6,Micah Richards,12000000.0
7,Karim Rekik,2500000.0
8,Martín Demichelis,2500000.0
9,Dedryck Boyata,1750000.0
10,Jason Denayer,
11,Gaël Clichy,13000000.0
12,Aleksandar Kolarov,12000000.0
13,Angeliño,
14,Pablo Zabaleta,19000000.0
15,Bacary Sagna,12000000.0
16,Fernandinho,32000000.0
17,Fernando,17500000.0
18,Bruno Zuculini,4000000.0
19,George Glendon,
20,Yaya Touré,30000000.0
21,James Milner,15000000.0
22,Frank Lampard,2000000.0
23,Scott Sinclair,6000000.0
24,David Silva,40000000.0
25,Sinan Bytyqi,
26,José Pozo,
27,Bersant Celina,
28,Samir Nasri,22000000.0
29,Jesús Navas,20000000.0
30,Sergio Agüero,45000000.0
31,Stevan Jovetic,26000000.0
32,Edin Dzeko,24000000.0
33,Wilfried Bony,15000000.0
34,John Guidetti,4500000.0
35,Thierry Ambrose,
